camera,star,x,y
1,16 Umi,1174.880886,335.9896122
1,2 Cep,1935.938137,124.0909753
1,44 Dra,1473.203556,163.8773758
1,Alderamin,2051.833177,259.887688
1,43 Dra,1482.828656,123.3131462
1,Alfirk,1869.587191,401.3896663
1,23 Uma,594.9077191,1073.487522
1,25 UMa,315.5,1208.791765
1,29 UMa,459.9645743,1052.68614
1,30 UMa,333.5136437,1098.5
1,Alioth,385.0234442,290.172208
1,Alsafi,1676.024756,153.7831958
1,Altais,1654.847157,74.48200313
1,Caph,2243.595511,883.1685786
1,10 Cep,2134.035112,331.2071629
1,22 Umi,1296.972042,437.7958388
1,Dubhe,466.2074074,758.112037
1,Errai,1726.520345,719.4889026
1,Fulu,2342.009496,1038.009496
1,Giausar,686.3267327,659.6184818
1,3 Cep,1997.861677,146.7538922
1,Kochab,1027.8967,293.8075439
1,24 Cas,2228.887943,1052.334043
1,Kurhah,2068.778799,429.4968198
1,Megrez,359.3526635,459.8671612
1,Merak,318.4375,778.2040929
1,Mizar,421.1823843,157.2913701
1,27 Cas,2146.006034,1049.515085
1,Phecda,253.8088077,540.0016112
1,Pherkad,1045.908342,196.1441813
1,Polaris,1352.550574,706.2012513
1,Ruchbah,2104.988903,1157.022811
1,Segin,1967.30273,1190.406328
1,18 Cas,2273.509081,1030.001557
1,HIP 107259,2188.33263,297.3452883
1,Tyl,1701.767311,193.5352464
2,12 Del A,1424.87114,510.1288605
2,16 Aql,2257.080629,78.23992134
2,11 Del,1467.551282,502.9444444
2,Alderamin,111.7673956,159.954937
2,Aldulfin,1606.576512,475.7224199
2,Algedi,2293.099472,677.9075704
2,Aljanah,903.2026403,296.9782178
2,30 Aql,2005.501859,101
2,65 Aql,2010.334817,473.1041852
2,Alshain,1849.846631,267.4822695
2,Altair,1786.984405,205.4951267
2,Dabih,2337.986617,729.8118959
2,Deneb,598.3603604,159.8309486
2,Enif,1416.665718,1000.750356
2,64 Cyg,936.7816006,506.486911
2,3 Cep,177.7381591,52.93923146
2,Rotanev,1498.302956,465.2889984
2,Sadr,779.1435583,99.08711656
2,Sualocin,1453.29555,465.3602015
2,Tarazed,1746.515219,153.7891611
3,Alioth,2409.759725,215.6457666
3,Alkaid,2150.095594,37.9035744
3,Alula Australis,2114.964865,1067.5
3,Alula Borealis,2150.218297,1035.51041
3,Arcturus,1227.403098,126.3923749
3,Chara,2125.811552,495.3054152
3,Cor Caroli,1989.492791,413.9866117
3,Denebola,1564.890625,1185.676185
3,Diadem,1369.108729,595.6822358
3,Elgafar,570.7284158,298.1709975
3,Heze,766.070998,659.0147354
3,Kang,395.5,517.1725601
3,100 Vir,301.7740492,518.9217002
3,Megrez,2507.53,352.0773333
